id_seller,username,nama_toko,level_toko,premium_toko,id_produk,nama_produk,kategori,kondisi,rating,jumlah_rating,stok,jumlah_interest,jumlah_sold,jumlah_view,harga,harga_asli,diskon,deskripsi
424511420,wisanggeni135,Suncity store,Juragan,platinum,4hl6ebj,Tas selempang wanita import terbaru slingbag promo,Selempang,Baru,5,5,189,7,10,0,174000,300000,42,Bahan :PU <br><br/><br><br/>Ukuran: P28XL12XT23CM <br><br/><br><br/>Berat :0.7kg Ada Talpan<br><br/><br><br/>NB: BAGI YANG KOMPLE HARUS ADA VIDEO UNBOXING DAN FOTO KERTAS ALAMAT NYA...
424511420,wisanggeni135,Suncity store,Juragan,platinum,4hl6c67,Baju koko setelan Hafis anak umur 1-12 tahun setelan baju muslim anak promo,Busana Muslim Anak Laki-Laki,Baru,5,6,188,6,11,0,150000,300000,50,-Abu abu<br><br/>-Hijau<br><br/>-Maroon<br><br/>Detail Ukuran<br><br/>Size :<br><br/>--S 1-2 Tahun<br><br/>LD 31cm-+<br><br/>PB 43cm -+<br><br/>PC 50cm-+<br><br/>--M 3-4 Tahun<br><br/>LD 33cm -+<br><br/>PB 46cm-+<br><br/>PC 52cm-+<br><br/>--L 5-6 Tahun<br><br/>LD 34cm-+<br><br/>PB 46cm-+<br><br/>PC 54cm-+<br><br/>--XL 7-8 Tahun<br><br/>LD 39cm-+<br><br/>PB 50cm-+<br><br/>PC 66cm-+<br><br/>--XXL 9-10 Tahun<br><br/>LD 41cm-+<br><br/>PB 56cm-+<br><br/>PC 71cm-+<br><br/>--XXXL 11-12 Tahun<br><br/>LD 43cm-+<br><br/>PB 56cm-+
424511420,wisanggeni135,Suncity store,Juragan,platinum,4hl671d,Baju koko anak lengan pajang anak SD dan SMP kombinasi batik koko terbaru,Busana Muslim Anak Laki-Laki,Baru,5,6,188,5,11,0,111000,300000,63,koko ANAK SD sampai remaja SMP<br><br/>bahan katun toyobo istimewa <br><br/>lembutt dan adem <br><br/><br><br/>Untuk usia 7 th - 15 thn<br><br/><br><br/>size M : 7-9 Tahun | LD 42 cm - Pj Baju 57 cm <br><br/>size L : 10-12 Tahun| LD 44 cm - Pj Baju 61 cm <br><br/>size XL : 13-15 Tahun| LD 46 cm - Pj Baju 65 cm <br><br/><br><br/>estimasi<br><br/><br><br/>umur 7-9 size 16<br><br/>umur 10-12 size 17<br><br/>umur 13-15 size 18
424511420,wisanggeni135,Suncity store,Juragan,platinum,4hl5zey,0Jaket Pria Shacket Pleece Jacket Sacket model Parka Pleece Hangat Tebal Masakini,Sweater,Baru,5,5,189,6,10,0,153000,300000,49,Design Simple dan Modist Tetap Elegant dan Nyaman di Gunakan sehari hari.<br><br/>Menggunakan Bahan PLEECE Gramasi 280 Yg relatip Tebal dapat menyerap keringat sangat cocok untuk di gunakan Berkendara<br><br/>buat Pelindung diri dari masuk Angin..<br><br/>Tunggu Apalagi Buruan beli sekarang keburu kehabisan..<br><br/><br><br/> SIZE L dan XL<br><br/><br><br/>    KET : <br><br/>      Size.         LD.       P.         P Lengan<br><br/>-----------------------------------------------------------<br><br/>         M         100       69             57<br><br/>         L.         106.      73.            60<br><br/>        XL.        114.     77.             63<br><br/>        XXL       118       81            65
424511420,wisanggeni135,Suncity store,Juragan,platinum,4hjkvig,0JUANFashion899 Kaos Pria Jf.ILtank Kaos Pria Distro Keren Kaos Pria Lengan Panjang,Kaos,Baru,5,10,177,11,21,0,117500,250000,53,"Kaos Pria Jf.Iltank Lengan Panjang<br><br/>Bahan Babyteri Nit Premium<br><br/>Kaos Adem Dan Nyaman Di Pakai<br><br/>Model Cocok Di Pakai Sehari-Hari<br><br/>Good Quality<br><br/>Motif Sablon<br><br/>High Quality<br><br/>Fashionable<br><br/>Real Picture<br><br/>Elegan Dan Trendy<br><br/>Kondisi 100% Baru<br><br/>Bisa Bayar Di Tempat (COD)<br><br/><br><br/>Untuk Ukuran / Size :<br><br/> Size L : Lingkaran Dada 104 Cm, Panjang Kaos 67 Cm<br><br/>Size XL : Lingkaran Dada 106 Cm, Panjang Kaos 68 Cm<br><br/>Size XXL : Lingkaran Dada 108 Cm, Panjang Kaaos 70 Cm<br><br/>Tersedia Beberapa Varian Warna"
424511420,wisanggeni135,Suncity store,Juragan,platinum,4hjkv1j,Lilla dress model terlaris size s m l xl gamis muslimah,Dress,Baru,5,9,178,9,20,0,147500,250000,41,size S<br><br/>-LD 96cm<br><br/>-PJ 130cm<br><br/>*size M<br><br/>-LD 100cm<br><br/>-PJ 135cm<br><br/>*size L<br><br/>-LD 104cm<br><br/>-PJ 138cm<br><br/>*size XL<br><br/>-LD 110cm<br><br/>-PJ 140cm (busui)<br><br/><br><br/><br><br/>Kami selalu memberikan yang terbaik untuk pembeli<br><br/>-paket dikemas dengan baik<br><br/>-silahkan pilih varian warna<br><br/>-stok bisa berubah sewaktu-waktu maka dari itu diharuskan memberi keterangan warna cadangan di catatan pembelian seperti (pesan kuning cadangan merah) hal tersebut untuk memudahkan bila mana pesanan yang anda pesan soldout<br><br/>-pesanan yang sudah dibayar tidak bisa di cancel kecuali stock kosong <br><br/>-membeli=setuju
424511420,wisanggeni135,Suncity store,Juragan,platinum,4hjkupd,PROMO SULTAN DRESS / GAMIS TERBARU BAHAN ADEM HARGA GROSIR TERMURAH,Dress,Baru,5,10,174,13,21,0,117500,250000,53,Ready stok<br><br/>Selama variasi di keranjang bisa di klik<br><br/>Gamis katun<br><br/>Gamis sehari hari<br><br/>Gamis rumahan<br><br/>Gamis santai<br><br/><br><br/>Detail<br><br/>Bahan katun<br><br/>Adem melar jatuh nyaman dipakai<br><br/>LD 110 melar sampai 120 cm<br><br/>PB -+135 cm<br><br/>Busui Bumil Resleting depan<br><br/>Bawah mayung -+3m<br><br/>real <br><br/>barang reeeeeeeeeaaaaaaadyyyyyyyyyyyyyyyyyyyyyy
424511420,wisanggeni135,Suncity store,Juragan,platinum,4hilols,sepatu snekers cewek Korea import murah promo,Sneaker Wanita,Baru,5,9,176,9,20,0,138000,300000,54,TERMASUK BOX<br><br/>Sepatu Fashion Import <br><br/>Sole Empuk dan Nyaman<br><br/>Size 36-40cm<br><br/>Bahan Sepatu : Kain<br><br/>Bahan Sole : Rubber / EVA
424511420,wisanggeni135,Suncity store,Juragan,platinum,4hil9zy,celana kerja wanita kator pinggang karet Higwaist  jombo murah,Jeans,Baru,5,9,176,10,20,0,138000,300000,54,"Size L.pinggang  L.panggul    BB<br><br/><br><br/>M=    68-76cm    86cm       40-47kg<br><br/><br><br/>L=      70-80cm    90cm       48-52kg<br><br/><br><br/>XL=   74-84cm     94cm       53-57kg<br><br/><br><br/>XXL/2L= 78-88cm    98cm     58-63kg <br><br/>    <br><br/>3L=  82-92cm     102cm       64-67kg  <br><br/><br><br/>4L=  86-96cm     104cm        68-73kg<br><br/><br><br/>5L=  90-100cm   106cm        74-85kg<br><br/><br><br/>panjang celana 95cm smua,, jka ada slisih 1-2cm dg ukuran yg ada dicattn mohon makluminya krn yg mngrjakn jg tngan"" manusia biasa tp kmi akn sllu brsha sbsa mngkin utk mnjga kwalitas.."
424511420,wisanggeni135,Suncity store,Juragan,platinum,4hii19s,Promo jians cinos celana panjan pria Noimi shof bahan lembut murah,Jeans,Baru,5,15,166,15,30,0,168000,350000,52,PILIHAN WARNA<br><br/>&gt;&gt; HITAM<br><br/>&gt;&gt; ABU-ABU<br><br/>&gt;&gt; CREAM<br><br/>&gt;&gt; MOCCA<br><br/><br><br/><br><br/>SIZE /LINGKAR PINGGANG / LINGKAR PAHA / LINGKAR KAKI<br><br/>&gt;&gt; 27 // Lingkar pinggang 68cm // LINGKAR PAHA 50 CM // LINGKAR KAKI 32 CM // PANJANG CELANA 97 CM<br><br/><br><br/>&gt;&gt; 28 // Lingkar pinggang 70 cm //LINGKAR PAHA  50CM // LINGKAR KAKI 32 CM // PANJANG CELANA 97 CM<br><br/><br><br/>&gt;&gt; 29 // Lingkar pinggang 72cm // LINGKAR PAHA 52 CM // LINGKAR KAKI 32 CM // PANJANG CELANA 98 CM<br><br/><br><br/>&gt;&gt; 30 // Lingkar pinggang 74 cm // LINGKAR PAHA 52 CM // LINGKAR KAKI 34 CM // PANJANG CELANA 98 CM<br><br/><br><br/>&gt;&gt; 31 // Lingkar pinggang 76cm // LINGKAR PAHA 54 CM // LINGKAR KAKI 34 CM // PANJANG CELANA 99 CM<br><br/><br><br/>&gt;&gt; 32 // Lingkar pinggang 78 cm // LINGKAR PAHA 54 CM // LINGKAR KAKI 34 CM // PANJANG CELANA 99 CM<br><br/><br><br/>&gt;&gt; 33 // lingkar pinggang  80 cm
424511420,wisanggeni135,Suncity store,Juragan,platinum,4hii0n1,Celana jians pensil setrit slimifits terbaru promo,Jeans,Baru,5,15,139,15,30,0,168000,300000,44,sebelum buat pesanan wajib baca deskripsi<br><br/>jenis; celana panjang jeans dewasa<br><br/>model slim fit/pensil<br><br/>bahan melar tebal<br><br/>warna; blue blitz<br><br/>             blue ston<br><br/>             blue black<br><br/>             hitam<br><br/>ukuran 27/38<br><br/>contoh lingkar pinggang<br><br/>size 27 lingkar pinggang 72 cm panjang 96 cm<br><br/>size 28 lingkar pinggang  74cm panjang 96 cm<br><br/>size 29 lingkar pinggang 76 cm panjang 96 cm<br><br/>size 30 lingkar pinggang 78 cm panjang 96 cm<br><br/>size 31 lingkar pinggang 80 cm panjang 96 cm<br><br/>size 32 lingkar pinggang 82 cm panjang 96 cm<br><br/>size 33 lingkar pinggang 84 cm panjang 96 cm<br><br/>size 34 lingkar pinggang 86 cm panjang 96 cm<br><br/>size 35 lingkar pinggang 88 cm panjang 96 cm<br><br/>size 36 lingkar pinggang 90 cm panjang 96 cm<br><br/>size 37 lingkar pinggang 92 cm panjang 96 cm<br><br/>size 38 lingkar pinggang 94 cm panjang 96 cm<br><br/><br><br/>selamat berbelanja anda puas kami pun senang <br><br/>hepyy shoping
424511420,wisanggeni135,Suncity store,Juragan,platinum,4hhapdd,sepatu kulit slip on fesein kerjoa kator sepatu terbaru,Slip On,Baru,5,15,168,15,30,0,168000,300000,44,"Sepatu bahan kulit cenderung lebih kecil dibanding sepatu olahraga maka rekom naikin size <br><br/><br><br/>Dear All Customer,<br><br/>BARANG YANG SUDAH DIBELI TIDAK DAPAT DICANCEL DENGAN ALASAN APAPUN :)<br><br/><br><br/>Kondisi : 100% baru ( include box )<br><br/>Bahan : Kulit Sintetis, Lentur tidak kaku<br><br/><br><br/>size 39-44 <br><br/>Perincian Size <br><br/>39=24.5 cm <br><br/>40=25 cm <br><br/>41=25.5 cm <br><br/>42=26 cm <br><br/>43=26.5 cm <br><br/>44=27 cm<br><br/><br><br/>#sepatupria #sepatucowok #sepatupantofel #sepatuformal #pantofelpria #sepatukantor #sepatukulit #sepatupantopel #sepatuslipon #sepatuselop #sepatuseloppria"
424511420,wisanggeni135,Suncity store,Juragan,platinum,4hhap4d,0PHM Sepatu Kulit Pria Casual Tahan Air Outdoor Shoes Atlas,Sneaker Pria,Baru,5,15,168,16,30,0,198000,300000,34,"Sepatu Sneakers 100% ORIGINAL &amp; BARU.<br><br/>Sepatu Sneakers MURAH tapi GAK MURAHAN.<br><br/>Sepatu Sneakers sesuai GAMBAR.<br><br/><br><br/>COCOK Digunakan Untuk: Nongkrong, Kuliah, Kerja, Traveling.<br><br/><br><br/>Bahan Upper    : PU Leather  Mudah dibersihkan &amp; Tahan air ]<br><br/>Bahan Insole    : Eva Sponge  Empuk tapi kuat ]<br><br/>Bahan Outsole : EVA + Rubber  Kuat &amp; tidak licin ]<br><br/>Berat Sepatu    : Size 39 - Lebih Kurang 660 Gr<br><br/>Berat Sepatu    : Size 44 - Lebih Kurang 780 Gr<br><br/>Berat Kotak      : Lebih Kurang 100 GR<br><br/><br><br/>Disarankan mengukur kaki terlebih dahulu lalu ditambah 0.5cm kemudian disamakan dengan chart size.<br><br/><br><br/>Chart size (insole) :<br><br/>Size 39 :  25 cm <br><br/>Size 40 :  25.5 cm<br><br/>Size 41 :  26 cm <br><br/>Size 42 :  26.5 cm <br><br/>Size 43 :  27 cm<br><br/>Size 44 :  27.5 cm <br><br/><br><br/>Misal : Setelah diukur kaki Kakak panjangnya 24.5cm, tambahkan 0,5cm maka didapat panjang 25cm. Maka kami sarankan pilih ukuran 39. Free box fre Kaos kaki"
424511420,wisanggeni135,Suncity store,Juragan,platinum,4he8k27,tas ransel wanita Chibao original terbaru harga promo,Hand Bags,Baru,5,15,166,18,30,0,171000,300000,43,"SELAMAT DATANG DI TOKO TAS MURAH<br><br/><br><br/>RANSEL WANITA CHIBAO ORIGINAL<br><br/><br><br/>WARNA: HITAM, MAGENTA, NAVY, MAROON,PINK<br><br/>BAHAN: PARASUT SUPER/TIDAK KAKU DAN TIDAK KERAS<br><br/>UKURAN: 28CMX14CMX34CM<br><br/>FUNGSI: RANSEL<br><br/>DETAIL: KAIN DALAM FULL EMBOS, ADA KONTONG RESLETING DIDALAM, ADA KANTONG HP DIDALAM, ADA KANTONG RESLETING DIBELAKAN TAS, ADA KANTONG DIKIRI KANAN TAS, ADA 2 KANTONG RESLETING DIDEPAN<br><br/>SEMUA GAMBAR DI TOKO TAS MURAH 100% FOTO ASLI BY OWNER<br><br/><br><br/>HAPPY SHOPPING"
424511420,wisanggeni135,Suncity store,Juragan,platinum,4he8ju4,Tas ransel kanvas cewek tas sekolah tas lethop terbaru promo,Tas,Baru,5,16,165,17,31,0,162000,300000,46,"Tas ransel wanita bisa untuk tas sekolah tas kuliah tas olahraga ataupun tas main<br><br/>Produk lokal <br><br/>kualitas terjamin dengan material yg bagus dan jahitan rapi<br><br/>material cotton kanvas<br><br/>barang sesuai gambar ( real pict )<br><br/>ukuran tinggi 45 lebar 30 tebal 16<br><br/>ada slot untuk simpan laptop<br><br/>muat laptop up to 15,6 inc<br><br/>harga di jamin termurah"
424511420,wisanggeni135,Suncity store,Juragan,platinum,4he832j,Sepatu bola anak Nike MERCULIAL size 28 sampai 370 promo,Sepatu,Baru,5,21,155,22,41,0,150000,250000,40,"tersedia size 32-37<br><br/><br><br/>info size insol:<br><br/>Size 32= 19cm<br><br/>Size 33= 19,5 cm<br><br/>Size 34= 20cm<br><br/>Size 35= 20,5cm<br><br/>Size 36= 21 cm<br><br/>Size 37= 22 cm<br><br/><br><br/>sudah termasuk box<br><br/>silakan diorder<br><br/>trimakssih"
424511420,wisanggeni135,Suncity store,Juragan,platinum,4he1jiv,103 Sepatu Wanita Sneakers Korea Import Casual Shoes Putih New,Sneaker Wanita,Baru,5,15,166,21,30,0,168000,350000,52,Deskripsi Produk<br><br/>Warna :<br><br/>- GREY<br><br/>- HIJAU<br><br/>- PINK<br><br/><br><br/>Ukuran :<br><br/>EUR 36 Kaki 23cm<br><br/>EUR 37 Kaki 23.5cm;<br><br/>EUR 38 Kaki 24cm;<br><br/>EUR 39 Kaki 24.5cm;<br><br/>EUR 40 Kaki 25 Cm;<br><br/><br><br/>Tinggi SOL 5 CM<br><br/>Bahan :<br><br/>Mesh Kombinasi Karet<br><br/>SOL KARET <br><br/><br><br/>=&gt; Semua Produk yang kami jual  adalah 100% Import [Lebih tahan lama dan Tebal] 99% Sesuai Dengan Gambar<br><br/>=&gt; First Hand Importir (HARGA DIJAMIN TERMURAH KARENA  KAMI TANGAN PERTAMA!!)<br><br/>=&gt; Produk di cek 2x sebelum kirim (QUALITY
424511420,wisanggeni135,Suncity store,Juragan,platinum,4he1ivy,"0aid 0256, sepatu wanita import fashion sneaker wanita best seller dan cantik terkiniian",Sneaker Wanita,Baru,5,15,165,18,30,0,168000,300000,44,tangan pertama produk import berkualiatas dengan harga mantap.<br><br/>- ready stok di jakarta.<br><br/>- pemeriksaan Qc terlebih dahulu sebelum pengiriman<br><br/><br><br/>referensi (Metode pemilihan terbaik periksa panjang kaki)<br><br/><br><br/>tinggi sepatu 4 - 5 cm<br><br/><br><br/>Size 36 == foot length 23 cm<br><br/>Size 37 == foot length 23.5 cm<br><br/>Size 38 == foot length 24 cm<br><br/>Size 39 == foot length 24.5 cm<br><br/>Size 40 == foot length 25 cm
424511420,wisanggeni135,Suncity store,Juragan,platinum,4hbeqjd,jaket bomber semi korea Waterproof tahan air promo,Jaket,Baru,5,15,165,17,30,0,160000,250000,36,bahan dalam : katun jenis pc ( tidak panas )<br><br/>kantong depan 2 kiri dan kanan<br><br/><br><br/>zipper :  <br><br/>size : M L Xl XXL<br><br/>warna : hitam / navy / merah cabe / abu /army <br><br/><br><br/>PANDUAN SIZE :<br><br/>*Ukuran* <br><br/>M= panjang:65 cm<br><br/>      Lebar:52 cm<br><br/>     P Tangan:58cm<br><br/><br><br/>*Ukuran* <br><br/>L= panjang: 67 cm<br><br/>      Lebar: 54 cm<br><br/>     P Tangan: 60<br><br/><br><br/>*Ukuran* <br><br/>Xl= panjang: 69<br><br/>      Lebar: 56<br><br/>     P Tangan:62<br><br/><br><br/>*Ukuran* <br><br/>Xxl= panjang:71 cm<br><br/>      Lebar: 58 cm<br><br/>     P Tangan: 64 cm
